GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4807642,160,48,,,,,,Benjamin Perez CDP,34,10,,,34,
4825038,160,48,,,,,,Fabrica CDP,923,283,,,923,
4827972,160,48,,,,,,Gail CDP,231,101,,,231,
4822150,160,48,,,,,,East Lopez CDP,166,43,,,166,
4824894,160,48,,,,,,Evergreen CDP,73,20,,,73,
4841404,160,48,,,,,,Lantana CDP,6874,2244,,,6874,
4861454,160,48,,,,,,Regino Ramirez CDP,85,28,,,85,
4865777,160,48,,,,,,Santel CDP,44,16,,,44,
4865792,160,48,,,,,,San Ygnacio CDP,667,366,,,667,
4865876,160,48,,,,,,Sarita CDP,238,84,,,238,
4866000,160,48,,,,,,Savannah CDP,3318,1151,,,3318,
4871820,160,48,,,,,,Tanquecitos South Acres CDP,233,78,,,233,
4871824,160,48,,,,,,Tanquecitos South Acres II CDP,50,16,,,50,
4804176,160,48,,,,,,Arroyo Gardens CDP,456,161,,,456,
4813128,160,48,,,,,,Casa Blanca CDP,54,17,,,54,
4813150,160,48,,,,,,Casas CDP,39,15,,,39,
4813198,160,48,,,,,,Cashion Community city,348,138,,,348,
4816110,160,48,,,,,,Colorado Acres CDP,296,110,,,296,
4834105,160,48,,,,,,Hillside Acres CDP,30,15,,,30,
4837112,160,48,,,,,,Ivanhoe city,887,577,,,887,
4839940,160,48,,,,,,Kurten town,398,162,,,398,
4841420,160,48,,,,,,La Paloma Addition CDP,330,129,,,330,
4845564,160,48,,,,,,McDade CDP,685,297,,,685,
4845576,160,48,,,,,,Macdona CDP,559,226,,,559,
4848315,160,48,,,,,,Miguel Barrera CDP,128,44,,,128,
4850322,160,48,,,,,,Narciso Pena CDP,30,12,,,30,
4859420,160,48,,,,,,Preston CDP,2096,1555,,,2096,
4869072,160,48,,,,,,South La Paloma CDP,345,157,,,345,
4871966,160,48,,,,,,Taylor Landing city,228,98,,,228,
4877336,160,48,,,,,,West Alto Bonito CDP,696,181,,,696,
4805576,160,48,,,,,,Banquete CDP,726,266,,,726,
4814692,160,48,,,,,,Chilton CDP,911,303,,,911,
4872902,160,48,,,,,,Thunderbird Bay CDP,663,788,,,663,
4801420,160,48,,,,,,Aguilares CDP,21,31,,,21,
4801500,160,48,,,,,,Airport Heights CDP,161,40,,,161,
4803008,160,48,,,,,,Amaya CDP,93,27,,,93,
4805036,160,48,,,,,,Austwell city,147,126,192,134,147,192
4805072,160,48,,,,,,Avery town,482,254,462,241,482,462
4805084,160,48,,,,,,Avinger town,444,222,464,236,444,464
4808398,160,48,,,,,,Bishop Hills town,193,88,210,85,193,210
4808410,160,48,,,,,,Bixby CDP,504,167,356,126,504,356
4810087,160,48,,,,,,Brazos Bend city,305,132,,,305,
4810090,160,48,,,,,,Brazos Country city,469,179,,,469,
4810984,160,48,,,,,,Buchanan Dam CDP,1519,1214,1688,1294,1519,1688
4810990,160,48,,,,,,Buchanan Lake Village CDP,692,690,,,692,
4811020,160,48,,,,,,Buckholts town,515,224,387,166,515,387
4812010,160,48,,,,,,Camargito CDP,388,120,,,388,
4814882,160,48,,,,,,Chula Vista CDP,450,145,,,450,
4816252,160,48,,,,,,Como town,702,280,621,237,702,621
4816300,160,48,,,,,,Concepcion CDP,62,37,61,35,62,61
4817429,160,48,,,,,,Coyote Flats CDP,312,133,,,312,
4819570,160,48,,,,,,DeCordova city,2683,1465,,,2683,
4820540,160,48,,,,,,DISH town,201,71,,,201,
4821412,160,48,,,,,,Driftwood CDP,144,67,,,144,
4822708,160,48,,,,,,Edmonson town,111,48,123,43,111,123
4822744,160,48,,,,,,Edom city,375,138,322,141,375,322
4822768,160,48,,,,,,Edroy CDP,331,141,420,142,331,420
4824013,160,48,,,,,,El Quiote CDP,208,71,,,208,
4824015,160,48,,,,,,El Rancho Vela CDP,274,81,,,274,
4825392,160,48,,,,,,Falls City city,611,264,591,242,611,591
4825397,160,48,,,,,,Falman CDP,76,36,,,76,
4825404,160,48,,,,,,Fannett CDP,2252,838,,,2252,
4826680,160,48,,,,,,Fort Clark Springs CDP,1228,894,,,1228,
4829036,160,48,,,,,,Garrett town,806,261,448,158,806,448
4831640,160,48,,,,,,Guthrie CDP,160,78,,,160,
4831646,160,48,,,,,,Gutierrez CDP,79,24,,,79,
4831715,160,48,,,,,,Hackberry town,968,321,544,162,968,544
4832910,160,48,,,,,,H. Cuellar Estates CDP,20,9,,,20,
4834508,160,48,,,,,,Holland town,1121,463,1102,432,1121,1102
4834532,160,48,,,,,,Holliday city,1758,743,1632,676,1758,1632
4834586,160,48,,,,,,Holly Lake Ranch CDP,2774,1906,,,2774,
4837390,160,48,,,,,,Jardin de San Julian CDP,22,7,,,22,
4837396,160,48,,,,,,Jarrell city,984,356,,,984,
4837468,160,48,,,,,,Jayton city,534,251,513,277,534,513
4840100,160,48,,,,,,La Coma CDP,48,23,,,48,
4840108,160,48,,,,,,LaCoste city,1119,442,1255,466,1119,1255
4840180,160,48,,,,,,Ladonia town,612,325,667,316,612,667
4840475,160,48,,,,,,Lake Colorado City CDP,588,738,,,588,
4840522,160,48,,,,,,Lake Dunlap CDP,1934,817,,,1934,
4841170,160,48,,,,,,La Minita CDP,171,51,,,171,
4841473,160,48,,,,,,Laredo Ranchettes CDP,22,9,1845,611,22,1845
4841475,160,48,,,,,,Laredo Ranchettes West CDP,0,0,,,0,
4841503,160,48,,,,,,La Rosita CDP,85,45,1729,537,85,1729
4842256,160,48,,,,,,Leming CDP,946,349,,,946,
4843462,160,48,,,,,,Loma Linda East CDP,254,78,214,64,254,214
4843463,160,48,,,,,,Loma Linda East CDP,44,15,,,44,
4843465,160,48,,,,,,Loma Linda West CDP,114,23,,,114,
4844110,160,48,,,,,,Los Ebanos CDP,280,83,,,280,
4844120,160,48,,,,,,Los Fresnos CDP,67,30,,,67,
4846056,160,48,,,,,,Magnolia city,1393,593,1111,460,1393,1111
4846260,160,48,,,,,,Malone town,269,129,278,125,269,278
4847016,160,48,,,,,,Matagorda CDP,503,527,,,503,
4848478,160,48,,,,,,Miller's Cove town,149,38,120,33,149,120
4848516,160,48,,,,,,Millican town,240,110,108,49,240,108
4848564,160,48,,,,,,Millsap town,403,167,353,154,403,353
4849359,160,48,,,,,,Morgan Farm CDP,463,187,,,463,
4850232,160,48,,,,,,Myrtle Springs CDP,828,390,,,828,
4850724,160,48,,,,,,Nesbitt town,281,133,302,131,281,302
4850742,160,48,,,,,,Netos CDP,31,12,,,31,
4850760,160,48,,,,,,Nevada city,822,313,563,203,822,563
4851654,160,48,,,,,,Nocona Hills CDP,675,572,,,675,
4852362,160,48,,,,,,Northridge CDP,78,24,,,78,
4853946,160,48,,,,,,Olivia Lopez de Gutierrez CDP,93,25,,,93,
4853964,160,48,,,,,,Olmito CDP,1210,336,1198,322,1210,1198
4853970,160,48,,,,,,Olmito and Olmito CDP,271,81,,,271,
4856864,160,48,,,,,,Perrin CDP,398,179,,,398,
4856996,160,48,,,,,,Petersburg city,1202,506,1262,498,1202,1262
4857044,160,48,,,,,,Petrolia city,686,338,782,338,686,782
4859794,160,48,,,,,,Pueblo East CDP,0,1,,,0,
4859798,160,48,,,,,,Pueblo Nuevo CDP,521,154,,,521,
4861820,160,48,,,,,,Richland town,264,143,291,137,264,291
4861880,160,48,,,,,,Richland Springs town,338,205,350,182,338,350
4864244,160,48,,,,,,St. Paul CDP,584,220,542,209,584,542
4865378,160,48,,,,,,San Fernando CDP,68,20,,,68,
4869380,160,48,,,,,,Spade CDP,73,42,100,49,73,100
4869432,160,48,,,,,,Sparks CDP,4529,1312,2974,793,4529,2974
4870688,160,48,,,,,,Study Butte CDP,233,145,,,233,
4871274,160,48,,,,,,Sunset CDP,47,11,,,47,
4871289,160,48,,,,,,Sunset Acres CDP,23,9,,,23,
4872464,160,48,,,,,,Texhoma city,346,157,371,155,346,371
4874576,160,48,,,,,,Utopia CDP,227,138,241,127,227,241
4874594,160,48,,,,,,Uvalde Estates CDP,2171,724,1972,627,2171,1972
4875752,160,48,,,,,,Volente village,520,296,,,520,
4875764,160,48,,,,,,Von Ormy city,1085,373,,,1085,
4877740,160,48,,,,,,Weston city,563,237,635,249,563,635
4877746,160,48,,,,,,Weston Lakes city,2482,985,,,2482,
4879204,160,48,,,,,,Wildwood CDP,1235,616,,,1235,
4880722,160,48,,,,,,Zapata Ranch CDP,108,40,88,31,108,88
4880724,160,48,,,,,,Zarate CDP,59,19,,,59,
4880728,160,48,,,,,,Zavalla city,713,368,647,340,713,647
4880836,160,48,,,,,,Zuehl CDP,376,177,346,140,376,346
4802286,160,48,,,,,,Amada Acres CDP,92,23,,,92,
4802290,160,48,,,,,,Amargosa CDP,291,95,,,291,
4803288,160,48,,,,,,Angus city,414,178,334,139,414,334
4803300,160,48,,,,,,Anna city,8249,2776,1225,436,8249,1225
4803588,160,48,,,,,,Aquilla city,109,48,136,51,109,136
4805690,160,48,,,,,,Barrera CDP,108,42,,,108,
4805768,160,48,,,,,,Bartonville town,1469,516,1093,391,1469,1093
4805864,160,48,,,,,,Bastrop city,7218,2991,5340,2239,7218,5340
4806242,160,48,,,,,,Bear Creek village,382,142,360,121,382,360
4806272,160,48,,,,,,Beasley city,641,241,590,232,641,590
4809232,160,48,,,,,,Boling CDP,1122,422,,,1122,
4809310,160,48,,,,,,Bonanza Hills CDP,37,14,,,37,
4809448,160,48,,,,,,Booker town,1516,542,1315,541,1516,1315
4810216,160,48,,,,,,Briaroaks city,492,200,493,181,492,493
